index,title,year,doi,pdf_status,fulltext_decision,kritzinger_level,building_scope,validation_type,domain,motif
341,Unlocking Potentials of Building Energy Systems' Operational Efficiency: Application of Digital Twin Design for HVAC systems,2020,10.26868/25222708.2019.210257,AVAILABLE,INCLURE,Twin,individual,pilot,HVAC,"DT Design HVAC ERV unit, Modelica DTI + physical twin, MQTT, predictive maintenance"
344,Digital twin for indoor condition monitoring in living labs: University library case study,2024,10.1016/j.autcon.2023.105188,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
345,Multi-Physics and Artificial Intelligence Models for Digital Twin Implementations of Residential Electric Loads,2022,10.1109/icrera55966.2022.9922831,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
346,Optimal Energy Consumption Control in a Multi-Zone Building Based on a Hybrid Digital Twin,2023,10.1109/smartindustrycon57312.2023.10110760,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
348,WSN-Based Data-Driven Digital Twin for Energy Efficient HVAC Systems,2023,10.1109/scc59637.2023.10527716,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
356,Predictive thermal comfort control for cyber-physical home systems,2018,10.1109/sysose.2018.8428734,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
358,The Potential of Digital Twin Model Integrated with Artificial Intelligence Systems,2020,10.1109/eeeic/icpseurope49358.2020.9160810,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
361,Scalable Building Energy Efficiency Balancing,2024,10.23919/annsim61499.2024.10732099,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
363,Evaluating the Impact of Data Availability on Machine Learning-augmented MPC for a Building Energy Management System,2024,10.1109/isgteurope62998.2024.10863763,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
366,Cloud-based hardware-in-the-loop testing of building automation controllers,2021,10.1088/1742-6596/2042/1/012025,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"Cloud-based HIL DT building automation controllers, KPI evaluation, virtual vs hardware"
372,Automatic Modelica BEM generation from IFC BIM,2024,10.1109/metrolivenv60384.2024.10615614,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
373,Regression-Based Model Error Compensation for a Hierarchical MPC Building Energy Management System,2023,10.1109/ccta54093.2023.10252861,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
379,Adaptive optimization for smart operation of cyber-physical systems: A thermostatic zoning test case,2017,10.1109/icca.2017.8003064,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
381,Calibration and validation of physics-based data-driven models for simulating the thermal behavior of indoor spaces in an assisted living facility,2024,10.1051/e3sconf/202456211003,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
385,Study of adaptive model predictive control for cyber-physical home systems,2019,10.1007/978-981-13-2622-6_17,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
535,Energy Signature Modeling Towards Digital Twins – Lessons Learned From a Case Study With TRV and GAHP Technologies,2022,nan,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Energy signature DT TRV+GAHP, Hale Court before/after retrofit, 3 monitoring periods"
538,Digital Twin for Buildings - The Way Towards Sustainable Buildings,2024,nan,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
540,Unlocking potentials of building energy systems' operational efficiency: Application of digital twin design for HVAC systems,2019,nan,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
542,Connecting the buildings of the past to the cities of the future with digital twins,2019,nan,AVAILABLE,EXCLURE,n/a,n/a,n/a,n/a,"Industry case study (Willow Inc) - peer-review status non clair, narrative-style article"
545,Leveraging Digital Twin for Enhancing Occupants' Comfort: A Case Study,2022,nan,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
547,DATA-DRIVEN PREDICTIVE CONTROL FOR COMMERCIAL BUILDINGS WITH MULTIPLE ENERGY FLEXIBILITY SOURCESyy,2020,nan,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"Data-driven predictive control commercial buildings CPS, RF, large office closed-loop sim"
