Title,Abstract,Year,Authors,DOI,Source,Keywords,Database,Document_Type
Energy efficiency gains in daily grass heating operation of sports facilities through supervisory holistic control,"In recent reflections on environmental impacts of buildings, medium to large scale sports stadiums have gained substantial attention. These stadiums of e.g. professional soccer teams are characterized by special system installations like grass heating systems serving the crucial commercial asset(s) and by event-driven usage patterns. Public buildings of this size imply situation-specific operational modes combined with high levels of safety and comfort requirements. In this paper we provide experimental verification of the energy savings potential of a professional soccer stadium's grass heating system during day-to-day operation. Our supervisory holistic control based on state of the art information and communication technology (ICT) is verified by seven experiments which we executed within the real operational setup of the Commerzbank Arena in Frankfurt, Germany. Our experiments operated different control strategies of increasing complexity. In winter 2014/2015 we achieved weather normalized energy savings of more than 56% compared to the last heating season. In an average heating season this would amount to savings of approximately 780 MWh and 150 t CO<inf>2</inf>. At the same time we violated minimum temperature targets less than 6% of the time. These results stress the feasibility and benefits of applying holistic context-aware control strategies to large scale legacy consumption systems using supervisory ICT platforms. We demonstrate significant efficiency improvements and establish a new energy baseline that future control strategy evolutions will have to benchmark against. © 2016 Elsevier B.V., All rights reserved.",2015,"Schmidt, M.; Schuelke, A.; Venturi, A.; Kurpatov, R.",10.1145/2821650.2821661,,Context awareness; Cyber-physical systems; Energy management; Grass heating; Smart buildings; Sports stadium ; Carbon dioxide; Embedded systems; Energy conservation; Energy management; Environmental impact; Heating; Heating equipment; Intelligent buildings; Legacy systems; Recreation centers; Sports; Stadiums; Context- awareness; Cyber physical systems (CPSs); Day-to-day operations; Efficiency improvement; Energy savings potential; Experimental verification; Information and Communication Technologies; Sports stadiums; Energy efficiency,Scopus,Conference paper
Digital Twins and CFD simulations for accurate sensor positioning,"Building renovation to improve energy efficiency is crucial for reducing CO2 emissions, aligning with the goal of achieving net-zero emissions by 2050. This task requires a holistic approach that encompasses retrofitting outdated systems, enhancing thermal insulation, and integrating renewable energy sources. Simulating different indoor environmental conditions and technological systems within Digital Twin (DT) before interventions is crucial for optimizing energy efficiency. Simulations can support the proper installation of heating and cooling devices and facilitate the deployment of advanced technologies, including smart Heating, Ventilation, and Air Conditioning (HVAC) systems, energy-efficient lighting, and automated energy management solutions. The use of Artificial Intelligence (AI) in simulations allows for the precise sizing of HVAC systems, including heat pumps and related devices, by accurately modelling demand profiles and optimizing sensor placement based on the geometries of DTs. This study, conducted as part of the Horizon Europe InCUBE project1, explores a real-world use-case at the Centro Servizi Culturali Santa Chiara in Trento, Italy. It introduces an innovative approach that integrates 3D surveying, computational fluid dynamics (CFD), and digital twin (DT) geometries to enhance the analysis of indoor heat distribution. The proposed data-driven pipeline optimizes sensor placement within indoor spaces, ensuring precise system design, improving performance and energy efficiency, and minimizing energy waste while preventing the oversizing of technological systems. © 2025 Elsevier B.V., All rights reserved.",2025,"Roman, O.; Bassier, M.; Ricciuti, S.; Farella, E.M.; Remondino, F.; Viesi, D.",10.5194/isprs-archives-xlviii-g-2025-1291-2025,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",Automation in constructions; BIM; Computational Fluid Dynamics; Deep Learning; Digital Twin; Energy efficiency ; Cooling systems; Digital twin; Indoor positioning systems; Renewable energy; Thermal insulation; Automation in construction; Computational fluid; Conditioning systems; Deep learning; Energy; Fluid-dynamics; Heating ventilation and air conditioning; Sensor placement; Technological system; Twin-fluid; Computational fluid dynamics; Energy efficiency,Scopus,Conference paper
The Brain Behind the Grid: A Comprehensive Review on Advanced Control Strategies for Smart Energy Management Systems,"The integration of digital technologies is catalysing a fundamental transformation of modern energy systems, enhancing operational efficiency, adaptability, and sustainability. Despite significant progress, the existing literature often addresses digital innovations in isolation, with limited consideration of their synergistic potential within Advanced Energy Systems (AES). This paper presents a systematic review of key digital technologies-such as artificial intelligence, the Internet of Things, blockchain, and digital twins-employed in AES, providing a critical assessment of their individual functionalities, interdependencies, and collective contributions to the energy sector. The analysis highlights the capacity of integrated digital solutions to augment system intelligence, strengthen operational resilience, and increase flexibility across various layers of the energy infrastructure. In addressing persistent challenges-including demand-side variability, supply intermittency, and regulatory complexity-the coordinated implementation of these technologies enables real-time optimization, predictive maintenance, and data-informed decision-making. The findings demonstrate that the synergistic deployment of digital technologies not only enhances system performance but also contributes to measurable improvements in reliability, cost-effectiveness, and environmental sustainability. The review concludes that establishing a cohesive and interoperable digital ecosystem is essential for the development of future-ready energy systems that are robust, efficient, and responsive to the evolving dynamics of the global energy landscape.",2025,"Rajendran, Gowthamraj; Raute, Reiko; Caruana, Cedric",10.3390/en18153963,ENERGIES,advanced energy systems; digital technologies integration; artificial intelligence; energy system resilience; predictive maintenance ; VIRTUAL POWER-PLANT; MODEL-PREDICTIVE CONTROL; BLOCKCHAIN-BASED SECURE; RENEWABLE ENERGY; SUSTAINABLE ENERGY; ELECTRIC VEHICLE; SIMULATION; MICROGRIDS; OPTIMIZATION; TECHNOLOGIES,Web of Science,Review
A Systematic review of the BIM Methodology Applied to the Management and Sustainability of Hospital Centers. The Digital BIM Twin in the Management and Sustainability of Hospital Buildings. Case Study: University Hospital of Jaén,"Due to the high technification of the health sector, it is expected that the future of hospital centers goes through the development of the concept of smart hospitals, where efficiency, safety and patient well-being must be highlighted as priorities. For this, it is necessary to develop and implement new and cutting-edge technologies that offer alternatives and solutions that improve the management, planning, analysis, design, development and operation of hospital buildings to make them more sustainable. To all this, we must add the high energy consumption of these buildings, due to their great activity that they carry out continuously (24/7/365), which also represents a great challenge to be able to decarbonize these buildings and make them more sustainable. On the other hand, BIM (Building Information Modeling) is a collaborative work methodology for the management of building projects through a digital model (digital twin), which allows these projects, throughout their life cycle, to be more efficient and sustainable. Having the digital twin of the hospital building offers many possibilities for improvement in management and help to make decisions, such as: distribution and classification of spaces, organization of workstations, and services, preventive maintenance, integration with control systems, asset data, energy management, indoor air quality, safety, etc. In this work, the experience of implementing the BIM work environment for the management and sustainability of an existing Hospital of more than 50 years old, such as the University Hospital of Jaén (HUJ), is shown. © 2024 Elsevier B.V., All rights reserved.",2023,"Montiel-Santiago, F.J.; Hermoso-Orzáez, M.J.; Terrados-Cepeda, J.",10.1007/978-3-031-26849-6_23,,Active management; BIM (building information modeling); Decarbonization; Energy efficiency; Health centers; Hospital; hospital buildings; Operation and maintenance; Smart buildings; Sustainability ; Air quality; Architectural design; Energy utilization; Hospitals; Indoor air pollution; Information management; Information theory; Intelligent buildings; Life cycle; Preventive maintenance; Quality control; Sustainable development; Active management; Building information modeling; Building Information Modelling; Case-studies; Decarbonisation; Health centers; Hospital buildings; Modeling methodology; Operations and maintenance; Systematic Review; Energy efficiency,Scopus,Conference paper
Hierarchical MPC for building energy management: Incorporating data-driven error compensation and mitigating information asymmetry,"The increasing adoption of renewable energy sources (RESs) in public power grids has led to a demand for more intelligent energy management systems (EMSs) in large-scale buildings. A common approach for controlling EMSs for buildings is Model Predictive Control (MPC). For large-scale buildings, hierarchical MPC schemes have been proposed, offering the advantage of scalability through problem decomposition into multiple layers. However, hierarchical schemes often suffer from information mismatch due to information asymmetry between layers, leading to suboptimal control performance. This issue is worsened by model errors inherent to the models underlying the MPC controllers. To address these challenges, we propose a hierarchical MPC approach, which includes data-driven error compensation. Additionally, to mitigate information mismatch, a one-iteration communication step is introduced between the hierarchical layers. The proposed approach comprises two layers: an aggregator layer that controls overall energy flows of the building, and a distributor layer that allocates thermal energy to individual temperature zones. The distributor may request additional thermal budget by providing the aggregator with an otherwise expected performance loss, which it can trade off accordingly. The approach is evaluated in a software-in-the-loop (SiL) simulation using a physics-based digital twin model of a multi-zone commercial building, showing notable improvements in overall control performance in comparison to a naive hierarchical baseline and similar performance to a monolithic baseline. © 2024 Elsevier B.V., All rights reserved.",2024,"Engel, J.; Schmitt, T.; Rodemann, T.; Adamy, J.",10.1016/j.apenergy.2024.123780,Applied Energy,Data-driven residual estimator; Digital twin; Disturbance prediction; Energy management system; Information asymmetry; Model predictive control ; Computer software; Economic and social effects; Energy management; Error compensation; Information management; Model predictive control; Office buildings; Predictive control systems; Renewable energy; Building energy managements; Control performance; Data driven; Data-driven residual estimator; Disturbance prediction; Hierarchical model; Information asymmetry; Large scale buildings; Model-predictive control; Residual estimators; Energy management systems; alternative energy; asymmetry; building; decomposition analysis; digitization; energy management; error analysis; mitigation; performance assessment,Scopus | Web of Science,Article
Realistic simulation analysis and performance testing of one KW fuel cell powered three-wheeler,"In order to provide a sustainable, emission-free urban transportation option, this study offers a thorough design, modeling, and experimental validation of a fuel cell electric three-wheeler driven by a 1 kW Proton Exchange Membrane Fuel Cell (PEMFC). An intelligent switchover mechanism controlled by real-time monitoring via an Arduino-based control system guarantees continuous operation in a hybrid configuration that incorporates a lithium iron phosphate (LiFePO₄) battery. MATLAB Simulink was used to characterize the PEMFC stack for important metrics including hydrogen consumption, stack efficiency (up to 60 %), and I-V behavior. In order to evaluate system-level dynamics and optimize powertrain response under various load situations and real-world driving cycles, a digital twin of the vehicle was created in Simcenter Amesim. At a maximum speed of 46 km/h, experimental trials showed dependable vehicle propulsion; depending on the speed, the hydrogen consumption varied from 8 to 13 L during 5 min periods. Despite hydrogen's lower volumetric energy density, the vehicle's performance was further compared to diesel and electric versions, demonstrating competitive fuel economy and energy efficiency. Notably, reliable energy management and vehicle control were guaranteed by the combination of a BLDC motor, a high-efficiency DC-DC converter, and real-time voltage monitoring. This study provides a useful step toward decarbonized urban mobility infrastructures by confirming the viability of low-power fuel cell mobility solutions for short-distance, emission-free transportation. © 2025 Elsevier B.V., All rights reserved.",2025,"Anandkumar, A.; Sambasivam, R.; Ashokan, A.; Sekar, D.; Rajendran, S.; Pant, R.",10.1016/j.rineng.2025.106336,Results in Engineering,Hydrogen Fuel; PEM Fuel Cell; Simulation; Three-Wheeler; Zero Emission ; DC-DC converters; Digital twin; Electric machine control; Energy efficiency; Fuel economy; Hydrogen economy; Hydrogen fuels; Lithium compounds; MATLAB; Secondary batteries; Traction motors; Urban transportation; Emission-free; Emissions-free; Hydrogen consumption; PEM fuel cell; Realistic simulation; Simulation; Simulation analysis; Simulation performance; Three-wheeler; Zero emission; Proton exchange membrane fuel cells (PEMFC),Scopus | Web of Science,Article
Implementing Digital Twins for Enhanced Energy Management in Three Case Studies,"Digitalization is recognized as a powerful enabler for decarbonizing the building sector. The International Energy Agency has highlighted its potential to improve safety, productivity, accessibility, and sustainability of energy systems. This work aims to present innovative applications of digital twins within the European Project DigiBUILD, focusing on optimizing energy systems for enhanced efficiency and reduced carbon footprint. The architecture of the developed digital twins w detailed, focusing on data collection, services description, and their implementation. Through three detailed case studies, the paper explores real applications of digital twins: the Heron pilot, whose aim is to manage a cluster of buildings and optimally charges electric vehicles to reduce carbon emissions; Veolia, where a district heating networks to optimally manage heat sources in the production plant to reduce gas consumption and emissions; and Emotion, focusing on a building equipped with photovoltaic panels and electric vehicles and implementing services for optimal vehicle charging to maximize self-consumption, in day-ahead scheduling but also in real time. A discussion finally highlights the challenges and limitations encountered in the deployment of digital twins, emphasizing the importance of user interaction in facilitating efficient energy management. This research contributes in underlining the significant potential of digital twins in advancing the digitalization of the energy sector, contributing to the European Union's goals for sustainability and reduced environmental impact. © 2024 Elsevier B.V., All rights reserved.",2024,"Testasecca, T.; Stamatopoulos, S.; Natalini, A.; Lazzaro, M.; Capizzi, C.M.; Sarmas, E.; Arnone, D.",10.1109/metrolivenv60384.2024.10615496,,Artificial Intelligence; Buildings; Digital Twin; Digitalization; Energy ; Buildings; District heating; Electric vehicles; Energy efficiency; Energy management; Energy management systems; Environmental impact; Gas emissions; Sustainable development; Buildings sector; Case-studies; Decarbonising; Digitalization; Energy; Energy systems; Enhanced efficiency; European program; International energy agency; Optimizing energy; Carbon footprint,Scopus,Conference paper
Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,"Digital twin control enhances HVAC systems by enabling real-time monitoring, energy optimization, and maintenance for improved performance and energy efficiency. To perform digital twin control effectively, it is necessary to have an accurate simulation model that can predict the performance of HVAC systems. However, simulation models have limitations in replicating real operating conditions, requiring calibration using actual measurement data. HVAC systems vary in operating environments, necessitating on-site embedded systems for customized operational optimization. However, existing research utilizing physics-based simulation models and metaheuristic algorithms incurs high computational costs, making practical implementation challenging. In this study, we developed the adaptive domain Nelder-Mead (ADNM) method, which optimizes calibration coefficients of the simulation model to minimize the error between predicted values and measured data in a short computation time. ADNM constructs an initial simplex using the Sobol sequence and previous optimal solutions, enabling robust minimization of the objective function even with changing operating conditions. The proposed method, validated with real HVAC data, reduced temperature RMSE by 60–70 % compared to the traditional NM algorithm and demonstrated up to 10–60 % lower temperature error than Bayesian optimization (BO) at similar computational times. Although genetic algorithm (GA) achieved lower errors, its computational time was over 3 to 6 times higher, highlighting the proposed method's superior efficiency and accuracy. © 2025 Elsevier B.V., All rights reserved.",2025,"Lee, G.-Y.; Noh, Y.; Kang, Y.-J.; Kim, N.; Park, N.; Oh, B.; Choi, G.",10.1016/j.enbuild.2025.115340,Energy and Buildings,Adaptive Domain Nelder-Mead Method; Coefficient Calibration; Digital Twin Control; HVAC; Sobol Sequence ; Calibration; Energy efficiency; HVAC; Adaptive domain nelde-mead method; Coefficient calibration; Computational time; Digital twin control; HVAC system; Model calibration; Nelder-Mead methods; Performance; Simulation model; Sobol's sequences; Genetic algorithms,Scopus | Web of Science,Article
Sustainable development and supply chain management in renewable-based community based self-sufficient utility: an analytical review of social and environmental impacts and trade-offs in digital twin,"Smart Island Energy Management (SIEM) heralds a new era in sustainable island energy utilization, orchestrating an innovative system that optimizes efficiency and environmental responsibility. By seamlessly integrating solar, wind, and diverse renewable sources alongside energy storage systems, smart meters, and advanced analytics, SIEM ensures optimal energy utilization, significantly trimming costs. Real-time energy consumption data empowers islanders, fostering informed decisions. The system employs the pioneering Teaching Learning-Based Optimization (TLBO) algorithm, meticulously balancing migration rates and habitat suitability indices, fortifying SI grid stability. To address load curtailment, digital twin technology orchestrates precise power shifts using storage batteries, minimizing operational expenses. Forecasting renewable energy outputs relies on the sophisticated Gated Recurrent Unit (GRU) deep learning model, ensuring accurate predictions. Simulation outcomes underscore the SIEM's efficiency, unveiling substantial cost reductions. The pivotal inclusion of a digital twin simulator amplifies realism, outstripping conventional models. Social impact and energy tradeoffs are vigilantly evaluated, guaranteeing uninterrupted energy supply. This groundbreaking approach not only trims costs but also charts a sustainable energy future for island communities, embodying a paradigm shift in energy management. Through SIEM, islands transition toward a greener, economically viable energy landscape, heralding a future where efficiency meets environmental stewardship. © 2024 Elsevier B.V., All rights reserved.",2024,"Bo, X.; Yi, B.",10.1016/j.seta.2024.103734,Sustainable Energy Technologies and Assessments,"Digital Twin; Energy Supply Chain; Smart Islands; Social impact, Energy Tradeoffs, Curtailment load ; Commerce; Cost reduction; Deep learning; Digital storage; Economic and social effects; Electric loads; Energy efficiency; Energy management; Environmental impact; Environmental management; Learning systems; Supply chain management; Sustainable development; Analytical reviews; Community-based; Energy supply chains; Energy tradeoff; Impact energy; Smart island; Social and environmental impact; Social impact; Social impact, energy tradeoff, curtailment load; Trade off; Energy utilization; algorithm; alternative energy; developing world; electronic equipment; energy efficiency; energy storage; environmental economics; environmental impact assessment; innovation; island state; optimization; precision; real time; social impact assessment; solar power; supply chain management; sustainable development; trade-off; wind power",Scopus,Article
Optimizing Facilities Management Through Artificial Intelligence and Digital Twin Technology in Mega-Facilities,"Mega-facility management has long been inefficient due to manual, reactive approaches. Current facility management systems face challenges such as fragmented data integration, limited predictive systems, use of traditional methods, and lack of knowledge of new technologies, such as Building Information Modeling and Artificial Intelligence. This study examines the transformative integration of Artificial Intelligence and Digital Twin technologies into Building Information Modeling (BIM) frameworks using IoT sensors for real-time data collection and predictive analytics. Unlike previous research, this study uses case studies and simulation models for dynamic data integration and scenario-based analyses. Key findings show a significant reduction in maintenance costs (25%) and energy consumption (20%), as well as increased asset utilization and operational efficiency. With an F1-score of more than 90%, the system shows excellent predictive accuracy for equipment failures and energy forecasting. Practical applications in hospitals and airports demonstrate the developed ability of the platform to integrate the Internet of Things and Building Information Modeling technologies, shifting facilities management from being reactive to proactive. This paper presents a demo platform that integrates BIM with Digital Twins to improve the predictive maintenance of HVAC systems, equipment, security systems, etc., by recording data from different assets, which helps streamline asset management, enhance energy efficiency, and support decision-making for the buildings’ critical systems. © 2025 Elsevier B.V., All rights reserved.",2025,"Abdelalim, A.M.; Essawy, A.; Sherif, A.; Salem, M.; Al-Adwani, M.; Abdullah, M.S.",10.3390/su17051826,Sustainability (Switzerland),Artificial Intelligence (AI); Building Information Modeling (BIM); digital trio; digital twin (DT); employer information requirement (EIR); facility management (FM); internet of things (IoT) ; accuracy assessment; artificial intelligence; digitization; energy efficiency; equipment; fuel consumption; Internet; prediction; real time,Scopus | Web of Science,Article
CycleTandem: Energy-Saving Scheduling for Real-Time Systems with Hardware Accelerators,"Cyber-physical systems such as autonomous vehicles need to process and analyze multiple simultaneous streams of sensor data in real-time. Therefore, these systems require powerful multi-core platforms with hardware accelerators such as GP-GPUs. These accelerators generally consume significant amounts of power. Therefore, power management is required to ensure that task deadlines are met while staying within the energy and thermal constraints of the system. In these systems, most tasks execute using a combination of CPU and accelerator resources. Hence, the power of the CPU and the accelerator needs to be managed in tandem. To reduce energy consumption, commercially-available accelerators such as GP-GPUs and DSPs expose interfaces to scale their operating voltage and frequency. Hence, we propose the CycleTandem static frequency-scaling technique to co-optimize the operating frequencies of both the CPU and the hardware accelerator. Based on practical considerations of real-world platforms, we consider various energy-management scenarios where the accelerator or CPU frequencies may or may not be adjustable, and propose the CycleSolo family of algorithms for such contexts. Furthermore, we also study partitioning techniques to reduce the operating frequency when multi-core processors are used in conjunction with hardware accelerators. Experimental evaluations indicate that our proposed techniques can yield significant energy savings. We also present a case-study on the NVIDIA TX2 embedded platform to illustrate the energy savings delivered by our proposed techniques. © 2019 Elsevier B.V., All rights reserved.",2019,"D'Souza, S.; Rajkumar, R.",10.1109/rtss.2018.00019,Proceedings - Real-Time Systems Symposium,Energy Savings; GPUs; Hardware Accelerators; Real-Time Scheduling ; Acceleration; Autonomous vehicles; Dynamic frequency scaling; Embedded systems; Energy conservation; Energy utilization; Interactive computer systems; Program processors; Scheduling; Experimental evaluation; GPUs; Hardware accelerators; Multi-core platforms; Multi-core processor; Partitioning techniques; Real - time scheduling; Reduce energy consumption; Real time systems,Scopus,Conference paper
Microgrids Design and Operation Guiding Insights and Best Practices for Microgrids Development,"This book delves into the evolving landscape of microgrids, offering a comprehensive guide on their design, operation, and integration within modern electrical networks. The subject of this book is microgrids, which are pivotal in the transition toward decentralised, decarbonised, and digitalised energy systems. The book is structured around several practical use cases, detailing the methods and results that will be of particular interest to readers, such as optimisation of power flow, integration of distributed energy resources (DERs), and advanced energy management systems. It features an array of illustrations, tables, and diagrams that enhance the reader's understanding of complex concepts, along with a didactic approach that includes step-by-step guides and case studies of 30 microgrid projects from around the world. Readers will benefit from detailed insights into the economic, technical, and social aspects of microgrids, including their role in enhancing grid resilience, improving energy efficiency, and supporting renewable integration. The book also addresses the latest technological advancements, such as digital twins and machine learning applications, that are shaping the future of microgrid design and operation. It serves as a practical manual, providing frameworks and methodologies that can be applied in real-world scenarios to optimise microgrid performance. The unique combination of theoretical knowledge and practical experience makes this book a valuable resource for researchers, engineers, policymakers, and practitioners in the energy sector. © 2025 Elsevier B.V., All rights reserved.",2025,"Ibrahim, I.; Hussain, A.; Shafiee, M.; Moazzen, F.",10.1007/978-981-96-4914-3,Power Systems,Digital Twins for Microgrids; Distributed Energy Resources; Economic Analysis of Microgrids; Energy Management; Microgrid Integration; Microgrids Technology; Modern Electrical Networks; Optimization of Power Flow; Renewable Energy Integration; Smart Grids ;,Scopus,Book chapter
Digital Twin supporting Blockchain in construction supply chain: From bio-based materials to energy efficiency and L.C.A..,"The increasing recognition of environmental issues and the demand for sustainable solutions within the construction industry lead to a focus on sustainable practices and alternatives in research, starting with the reduction of energy requirements in European urban parks. The implementation of methodologies for predicting and managing environmental impacts is vital. One such methodology is Life Cycle Assessment (LCA), which, related to energy simulations in buildings, characterises a more sustainable construction practice that surpasses the notion of a green building. To attain further enhancement, building material choices based on physical, mechanical and chemical properties should be thoroughly examined. Finally, monitoring building interventions is crucial for planning maintenance and tracking their current status in real-time.This investigation seeks to contextualise the function of construction materials, specifically bio-based plant fibre materials, in scientific research. Additionally, it scrutinises the potential and limitations of incorporating cutting-edge technologies (Blockchain, AI, IoT, BIM, GIS, sensors, mathematical models) in generating a Digital Twin that cohesively collates all this data while adhering to the seven Keys.The proposed Digital Twin model's architectural framework will contribute to Smart Buildings in Smart Cities, where manufacturing companies, research bodies, and governmental institutions are committed to enhancing the quality of citizens' lives. The model's materials choice for energy efficiency is paramount. © 2024 Elsevier B.V., All rights reserved.",2023,"Rocco, A.",10.1109/bigdata59044.2023.10386742,,Blockchain (BT); Digital Twin (DT); ITC (Information and Communication Technology); KETs (Key Enable Technologies) ; Architectural design; Construction industry; Energy efficiency; Environmental impact; Industrial research; Life cycle; Supply chains; Sustainable development; Bio-based materials; Block-chain; Blockchain (BT); Construction supply chain; Digital twin; Environmental issues; Information and Communication Technologies; ITC (information and communication technology); Key enable technology; Material choice; Blockchain,IEEE Xplore | Scopus,Conference paper
From Smart to Intelligent: Energy Conservation Management of Air Conditioner System,"The construction industry has played a significant role in socio-economic progress while it has brought a large amount of energy consumption during its rapid development. During the whole life cycle of buildings, the energy consumption in operational phase accounts for over 80%, where the electricity consumption of Heating Ventilation and Air Conditioning (HVAC) system takes a large part. Research has been widely carried out on the energy conservation of air conditioner from the perspective of technological innovation and occupant behavior, however, few research focused on such a question during the use of air conditioner in winter: should the air conditioner be turned off from an energy-saving perspective when leaving room for a short time? In order to explore an energy-saving usage mode of air conditioner, this research selected an office as the experimental site and simulated the scenarios of turning off the air conditioner or not for a short leaving. Through five types of experiments and statistical analysis such as Shapiro–Wilk and Mann–Whitney U test, the “balance point” of energy consumption was found. Further, the future intelligent management of energy consumption of HVAC system based on the concept of Agent-based modeling and Digital twin were prospected. The results refuted the popular saying on the Internet and provided guidance for public to objectively understand this issue. A novel concept that combines physical model and data-driven simulation provides a possible solution to improve energy efficiency in buildings. © 2025 Elsevier B.V., All rights reserved.",2024,"Yu, H.; Sun, Q.; Xu, P.; Xu, X.",10.1007/978-981-97-1949-5_96,Lecture Notes in Operations Research,Building; Energy; Field measurement; HVAC; Simulation ;,Scopus,Book chapter
Edge AI for Object Recognition in Digital Twins: Enhancing Indoor Navigation and Bim Systems for Living Environments,"This study investigates the use of Edge AI for object detection and tracking in living environments, aiming to enhance both building management and robotic navigation. In detail, this study explores the possibility of using deployable AI models from various pre-trained models used for object detection and tracking in indoor environments. The primary goal is to identify object recognition models that achieve high accuracy while remaining computationally efficient enough to be deployed on resourceconstrained edge devices, eliminating the need for cloud-based processing, while ensuring energy conservation. Importantly, the approach prioritizes user privacy by processing all data locally on edge microcontrollers, avoiding transmitting raw data over networks. These microcontrollers are selected for their costeffectiveness, energy efficiency, and capability to run advanced models. The study evaluates multiple pre-trained AI models, namely MobileNetV2 SSD FPN-Lite, FOMO (Faster Objects, More Objects), YOLO, and SSD, through the Edge Impulse platform. The results highlight FOMO as the best-performing model, achieving 100% accuracy with a memory footprint of less than 100 KB, making it well-suited for Edge AI applications. This approach ensures real-time detection of environmental changes and obstacles, safeguards user privacy by processing data locally and optimizes energy efficiency. Our findings demonstrate that Edge AI can be effectively leveraged to improve living environment robotic navigation and dynamic BIM updates while maintaining a lightweight computational footprint.",2025,K. Omer; A. Monteriù,10.1109/metrolivenv64961.2025.11106999,2025 IEEE International Workshop on Metrology for Living Environment (MetroLivEnv),Edge AI;Digital Twin;Building Information ; Accuracy;Computational modeling;Memory management;Edge AI;Real-time systems;Energy efficiency;Digital twins;Computational efficiency;Object recognition;Robots,IEEE Xplore,
Modelling virtual sensors for real-time indoor comfort control,"Increasing demands on indoor comfort in buildings and urgently needed energy efficiency measures require optimised HVAC systems in buildings. To achieve this, more extensive and accurate input data are required. This is difficult or impossible to accomplish with physical sensors. Virtual sensors, in turn, can provide these data; however, current virtual sensors are either too slow or too inaccurate to do so. The aim of our research was to develop a novel digital-twin workflow providing fast and accurate virtual sensors to solve this problem. To achieve a short calculation time and accurate virtual measurement results, we coupled a fast building energy simulation and an accurate computational fluid dynamics simulation. We used measurement data from a test facility as boundary conditions for the models and managed the coupling workflow with a customised simulation and data management interface. The corresponding simulation results were extracted for the defined virtual sensors and validated with measurement data from the test facility. In summary, the results showed that the total computation time of the coupled simulation was less than 10 min, compared to 20 h of the corresponding CFD models. At the same time, the accuracy of the simulation over five consecutive days was at a mean absolute error of 0.35 K for the indoor air temperature and at 1.2% for the relative humidity. This shows that the novel coupled digital-twin workflow for virtual sensors is fast and accurate enough to optimise HVAC control systems in buildings. © 2023 Elsevier B.V., All rights reserved.",2023,"Edtmayer, H.; Brandl, D.; Mach, T.; Schlager, E.; Gursch, H.; Lugmair, M.; Hochenauer, C.",10.1016/j.jobe.2023.106040,Journal of Building Engineering,Building indoor comfort control; Coupled real-time building simulation model; Digital twin; Model-based virtual sensors ; Buildings; Computational fluid dynamics; Energy efficiency; Energy management systems; HVAC; Information management; Building indoor comfort control; Building simulation model; Coupled real-time building simulation model; In-buildings; Indoor comforts; Model-based OPC; Model-based virtual sensor; Real- time; Virtual sensor; Work-flows; Test facilities,Scopus | Web of Science,Article
Digital twin-empowered power consumption prediction for energy-intensive aluminum annealing furnaces,"The aluminum annealing furnace (AAF) is a large, energy-intensive industrial equipment widely used in manufacturing. Accurate prediction of its power consumption is crucial for optimizing energy management. However, conventional prediction methods often face challenges due to the furnace's multi-day production cycles, coupled operating conditions, and complex thermal interactions. To overcome these challenges, this paper proposes a digital twin (DT)-based approach for high-fidelity power consumption prediction of AAFs. First, a DT-empowered prediction framework is proposed, which establishes a closed-loop interaction between physical entities and virtual models through four synergistic layers: physical equipment, data integration, DT simulation, and application services. Within this framework, detailed power consumption profiles are generated via DT simulations that replicate the AAF's production process in advance, utilizing both the twin model and production data. The AAF DT model is developed using a CNN-BiLSTM-Attention network, effectively capturing the nonlinear dynamics of power consumption. Furthermore, an incremental learning strategy is implemented to continuously refine the model with increasing data, ensuring adaptability to varying production scenarios. Finally, a real-world case from an aluminum manufacturing facility is provided to validate the proposed approach. Experimental results demonstrate its superior performance, with all R2 values exceeding 0.96, consistently outperforming other baseline models. © 2025 Elsevier B.V., All rights reserved.",2026,"Xiao, H.; Wang, B.; Zhou, H.; Hu, W.; Liu, G.-P.",10.1016/j.eswa.2025.129079,Expert Systems with Applications,Aluminum annealing furnace; Digital twin; Industrial energy management; Power consumption prediction ; Aluminum; Annealing; Data integration; Digital twin; Dynamics; Electric power utilization; Energy management; Industrial management; Accurate prediction; Aluminium. annealing; Aluminum annealing furnace; Annealing furnace; Energy; Industrial energy management; Industrial equipment; Optimizing energy; Power; Power consumption prediction; Forecasting,Scopus | Web of Science,Article
